"Freq [GHz]","dB(S(1,1)) []"
1,-0.00207101574830392
1.08333333333333,-0.0045170683771569
1.16666666666667,-0.0334681959543608
1.25,-0.112312338144527
1.33333333333333,-0.103293364110428
1.41666666666667,-0.0793185575711558
1.5,-0.0936713394831533
1.58333333333333,-0.102688719553871
1.66666666666667,-0.108827968648944
1.75,-0.116251291387458
1.83333333333333,-0.127457551073774
1.91666666666667,-0.122279521801638
2,-0.128320279410021
2.08333333333333,-0.323350544515785
2.16666666666667,-0.168166932013769
2.25,-0.182851188212365
2.33333333333333,-0.202370074699213
2.41666666666667,-0.278792807619509
2.5,-0.698571321749091
2.58333333333333,-0.627041227360088
2.66666666666667,-1.56418628893758
2.75,-1.66876395383663
2.83333333333333,-0.631760380442322
2.91666666666667,-0.116871385235071
3,-0.0705092268214425
3.08333333333333,-0.282551896171869
3.16666666666667,-0.336842372838795
3.25,-0.172975018043876
3.33333333333333,-0.0627926444951477
3.41666666666667,-0.0908266580424891
3.5,-0.142001702326945
3.58333333333333,-0.107528823106794
3.66666666666667,-0.179255867322076
3.75,-0.210405358585761
3.83333333333333,-0.378848078843036
3.91666666666667,-1.5575948081087
4,-1.12779483530759
4.08333333333333,-0.664551949137176
4.16666666666667,-0.269385919679154
4.25,-0.303012305854127
4.33333333333333,-0.403918446553563
4.41666666666667,-0.364837391313679
4.5,-0.406064414734381
4.58333333333333,-0.533828505593395
4.66666666666667,-1.75156932761831
4.75,-0.423159447119439
4.83333333333333,-0.487949621050297
4.91666666666667,-0.379968967053483
5,-0.426457694247891
5.08333333333333,-0.489779191887352
5.16666666666667,-0.52828443653585
5.25,-0.544692109545675
5.33333333333333,-0.550327578890591
5.41666666666667,-0.586178804653826
5.5,-0.633599043683384
5.58333333333333,-0.678261426615435
5.66666666666667,-0.723082762020187
5.75,-0.782158209066223
5.83333333333333,-0.834690043595471
5.91666666666667,-1.02603930370839
6,-1.12927238428955
