"Freq [GHz]","dB(S(1,1)) []"
1,-0.00294930210753105
1.08333333333333,-0.00352092462893828
1.16666666666667,-0.00428304076204413
1.25,-0.00534271789584277
1.33333333333333,-0.00880977588663219
1.41666666666667,-0.00749453794723958
1.5,-0.00950707857902083
1.58333333333333,-0.0119801232786307
1.66666666666667,-0.0148167308387939
1.75,-0.017226170637947
1.83333333333333,-0.0207311004587628
1.91666666666667,-0.0267569640316991
2,-0.0265186487534232
2.08333333333333,-0.0308504019762267
2.16666666666667,-0.0312762603928514
2.25,-0.0351357292850265
2.33333333333333,-0.0412495359853749
2.41666666666667,-0.0471281760361129
2.5,-0.0504973968537551
2.58333333333333,-0.0591013343734683
2.66666666666667,-0.0662927143208553
2.75,-0.0737109186143513
2.83333333333333,-0.0676844425809529
2.91666666666667,-0.0806604235523286
3,-0.089950971732601
3.08333333333333,-0.0939223195140579
3.16666666666667,-0.102533059086136
3.25,-0.113388064198917
3.33333333333333,-0.140991865603856
3.41666666666667,-0.139205664472427
3.5,-0.131156644665298
3.58333333333333,-0.131831263746093
3.66666666666667,-0.145809167047401
3.75,-0.196289331736424
3.83333333333333,-0.150789551880826
3.91666666666667,-0.154976589827013
4,-0.163265871579202
4.08333333333333,-0.152303648200434
4.16666666666667,-0.170798542572483
4.25,-0.129328506618357
4.33333333333333,-0.13028979319285
4.41666666666667,-0.129998934446665
4.5,-0.127469585856164
4.58333333333333,-0.121830526739528
4.66666666666667,-0.128261018730822
4.75,-0.139228317309029
4.83333333333333,-0.113196248527996
4.91666666666667,-0.141556191728232
5,-0.138764437013503
5.08333333333333,-0.150132561918672
5.16666666666667,-0.162061201740869
5.25,-0.187197047124621
5.33333333333333,-0.181943147918726
5.41666666666667,-0.190118171987543
5.5,-0.210284742254836
5.58333333333333,-0.206031214622628
5.66666666666667,-0.234819498995666
5.75,-0.271576910988202
5.83333333333333,-0.27016983104333
5.91666666666667,-0.301418334445683
6,-0.356637459477764
