"Freq [GHz]","dB(S(1,1)) []"
1,-0.0136891652548439
1.08333333333333,-0.0309472665144694
1.16666666666667,-0.144508522448448
1.25,-2.85973141797762
1.33333333333333,-0.519732000366446
1.41666666666667,-0.390976979377159
1.5,-0.0938220157683525
1.58333333333333,-1.75841043040147
1.66666666666667,-0.0564210954561314
1.75,-0.0407491928735826
1.83333333333333,-0.140966352988744
1.91666666666667,-1.02275616482768
2,-2.57807233554074
2.08333333333333,-0.149417401629211
2.16666666666667,-1.39828328452374
2.25,-0.282217774934433
2.33333333333333,-0.757894445526114
2.41666666666667,-0.629625975497814
2.5,-0.174098215919647
2.58333333333333,-7.2687886490847
2.66666666666667,-1.16125496061782
2.75,-1.22520721141564
2.83333333333333,-1.33695324432828
2.91666666666667,-2.33906553377122
3,-0.467408611947973
3.08333333333333,-1.44301580321657
3.16666666666667,-0.457755174257862
3.25,-8.36411916790366
3.33333333333333,-2.72486969308541
3.41666666666667,-2.25494192714795
3.5,-3.34276729265878
3.58333333333333,-1.39259324618599
3.66666666666667,-0.331864157465872
3.75,-0.849149323448804
3.83333333333333,-1.61295567045404
3.91666666666667,-0.687244791522454
4,-0.85690590839062
4.08333333333333,-0.837731956857593
4.16666666666667,-0.367705788320101
4.25,-4.16117790415647
4.33333333333333,-0.713712931051113
4.41666666666667,-10.741760127825
4.5,-4.76914423705573
4.58333333333333,-1.60408746885388
4.66666666666667,-2.05627069479635
4.75,-4.94690466102362
4.83333333333333,-4.16805899700644
4.91666666666667,-11.2223738346448
5,-5.11753837138846
5.08333333333333,-0.825483831185984
5.16666666666667,-1.30675967866905
5.25,-7.96005868884741
5.33333333333333,-2.81719057096017
5.41666666666667,-1.14801851961897
5.5,-0.822882671317092
5.58333333333333,-3.989678132815
5.66666666666667,-4.01774887875722
5.75,-5.53044710594202
5.83333333333333,-11.2510440846228
5.91666666666667,-17.5151898060501
6,-1.39428545303707
