"Freq [GHz]","dB(S(1,1)) []"
1,-0.0171420878716067
1.08333333333333,-0.114021312882239
1.16666666666667,-0.0586231421766259
1.25,-0.0199842987076078
1.33333333333333,-0.0487058647135895
1.41666666666667,-2.45156800570307
1.5,-0.109143296096444
1.58333333333333,-0.497702587593601
1.66666666666667,-0.259156415877752
1.75,-0.429961316676975
1.83333333333333,-0.657814204245775
1.91666666666667,-0.163492114200807
2,-0.255486284569977
2.08333333333333,-0.222924661433916
2.16666666666667,-1.20848165937012
2.25,-3.7657987508696
2.33333333333333,-0.107235107265943
2.41666666666667,-0.108297577113558
2.5,-1.35746141960975
2.58333333333333,-0.356251739210558
2.66666666666667,-0.351951051887547
2.75,-0.520484802780655
2.83333333333333,-6.88076210522621
2.91666666666667,-0.826747403487815
3,-1.00128756133896
3.08333333333333,-2.88234231470686
3.16666666666667,-0.613616760380704
3.25,-0.21779942236037
3.33333333333333,-0.393864042484682
3.41666666666667,-0.64500415266121
3.5,-3.06951361812647
3.58333333333333,-3.38590308747205
3.66666666666667,-0.340277617489402
3.75,-0.310102725806131
3.83333333333333,-2.07489205777552
3.91666666666667,-1.18289924808633
4,-0.445487146161226
4.08333333333333,-3.92726038016468
4.16666666666667,-2.94258467600959
4.25,-5.01472680254306
4.33333333333333,-1.19648682312256
4.41666666666667,-5.19806504582765
4.5,-6.60408674845349
4.58333333333333,-0.9500279145679
4.66666666666667,-0.892029891246215
4.75,-1.17287796842944
4.83333333333333,-6.92250794794712
4.91666666666667,-1.50409189713297
5,-6.04471506956584
5.08333333333333,-5.34683672992437
5.16666666666667,-1.88644741444267
5.25,-1.47709156795521
5.33333333333333,-0.641043777820488
5.41666666666667,-2.57306144792186
5.5,-3.5679204031201
5.58333333333333,-8.35209259505939
5.66666666666667,-10.1867122118744
5.75,-3.50428005284146
5.83333333333333,-12.8589816281861
5.91666666666667,-6.29877907073901
6,-3.96188145813946
