antenna_id	resonant_freq_ghz	depth_db	prominence_db	confidence	method
17350	5.166666508	-9.461963	4.472630	0.184469	global_min_fallback
29200	3.583333254	-9.040360	4.647690	0.201139	global_min_fallback
20761	5.250000000	-6.766044	4.650892	0.136780	global_min_fallback
8905	6.000000000	-0.318521	0.000000	0.000000	global_min_fallback
14646	4.416666508	-6.022265	4.628877	0.136217	global_min_fallback
22118	6.000000000	-5.210627	0.000000	0.000000	global_min_fallback
13792	3.416666746	-0.714932	1.629980	0.050894	global_min_fallback
19243	4.333333492	-3.611671	3.451685	0.104606	global_min_fallback
11599	6.000000000	-0.351532	0.000000	0.000000	global_min_fallback
17911	6.000000000	-0.388433	0.000000	0.000000	global_min_fallback
27736	6.000000000	-0.353734	0.000000	0.000000	global_min_fallback
22688	5.666666508	-1.297773	0.871359	0.027379	global_min_fallback
1093	5.416666508	-2.395331	3.414899	0.103574	global_min_fallback
29520	3.666666746	-1.662504	1.057719	0.035389	global_min_fallback
2615	5.416666508	-1.864797	0.456904	0.014382	global_min_fallback
27804	4.000000000	-2.277647	2.185999	0.067783	global_min_fallback
28241	6.000000000	-0.906719	0.000000	0.000000	global_min_fallback
1880	5.833333492	-0.321760	0.009211	0.000469	global_min_fallback
10602	6.000000000	-0.378756	0.000000	0.000000	global_min_fallback
12087	4.333333492	-3.474855	5.175392	0.149877	global_min_fallback
3680	5.083333492	-7.616228	6.011360	0.230708	global_min_fallback
11033	5.750000000	-4.009952	3.984493	0.119266	global_min_fallback
20110	6.000000000	-12.063025	0.000000	0.064079	global_min_fallback
7437	6.000000000	-0.311636	0.000000	0.000000	global_min_fallback
687	5.166666508	-6.088541	5.753297	0.163568	global_min_fallback
25089	4.083333492	-2.762426	0.942978	0.071690	global_min_fallback
18916	6.000000000	-0.341246	0.000000	0.000000	global_min_fallback
16359	6.000000000	-2.954435	0.000000	0.000000	global_min_fallback
9974	3.666666746	-9.396800	3.418830	0.171562	global_min_fallback
4182	5.916666508	-1.125943	0.062176	0.001959	global_min_fallback
8093	6.000000000	-0.391277	0.000000	0.000000	global_min_fallback
17517	6.000000000	-0.321152	0.000000	0.000000	global_min_fallback
18350	6.000000000	-7.677854	0.000000	0.000000	global_min_fallback
4593	6.000000000	-1.063890	0.000000	0.000000	global_min_fallback
6235	3.833333254	-4.032725	3.631412	0.127743	global_min_fallback
29133	6.000000000	-0.354357	0.000000	0.000000	global_min_fallback
6884	4.166666508	-0.461263	2.792177	0.085737	global_min_fallback
168	5.666666508	-4.109121	1.805042	0.056249	global_min_fallback
3405	6.000000000	-7.877258	0.000000	0.000000	global_min_fallback
20480	6.000000000	-1.745173	0.000000	0.000000	global_min_fallback
6771	3.250000000	-0.285366	2.114018	0.065617	global_min_fallback
21457	4.833333492	-11.035816	3.059801	0.195734	global_min_fallback
