"Freq [GHz]","dB(S(1,1)) []"
1,-0.00300653645344349
1.08333333333333,-0.00356261221183718
1.16666666666667,-0.00429177071676659
1.25,-0.00524697448381251
1.33333333333333,-0.00648043351133842
1.41666666666667,-0.00804060029786457
1.5,-0.00996520804788509
1.58333333333333,-0.0122724696300184
1.66666666666667,-0.0149475446685473
1.75,-0.0179075219196335
1.83333333333333,-0.0209540545165733
1.91666666666667,-0.0238450368175202
2,-0.0265622762280917
2.08333333333333,-0.0294296248987763
2.16666666666667,-0.0328794151982958
2.25,-0.0371976553268632
2.33333333333333,-0.0424050063798904
2.41666666666667,-0.0482358809294855
2.5,-0.0542887567129878
2.58333333333333,-0.0602544283673633
2.66666666666667,-0.0659317915671322
2.75,-0.0712134676226439
2.83333333333333,-0.0763001060060467
2.91666666666667,-0.0829145693009299
3,-0.0891020103956135
3.08333333333333,-0.0967312471291211
3.16666666666667,-0.105072444980839
3.25,-0.113635290699749
3.33333333333333,-0.122143449386375
3.41666666666667,-0.130425650942174
3.5,-0.138039915312835
3.58333333333333,-0.144049262289334
3.66666666666667,-0.147883140089405
3.75,-0.150441665305644
3.83333333333333,-0.152897622786741
3.91666666666667,-0.154680425066669
4,-0.15416226911613
4.08333333333333,-0.150921987617262
4.16666666666667,-0.145916769355692
4.25,-0.140315002597367
4.33333333333333,-0.134951307173652
4.41666666666667,-0.130375287722217
4.5,-0.126999709146403
4.58333333333333,-0.125445688739844
4.66666666666667,-0.128259988457779
4.75,-0.130866314560553
4.83333333333333,-0.134135278570129
4.91666666666667,-0.139305875178457
5,-0.145870100452485
5.08333333333333,-0.153400165614629
5.16666666666667,-0.161820964252969
5.25,-0.171383357585038
5.33333333333333,-0.182179965607577
5.41666666666667,-0.193768575619016
5.5,-0.212194709593334
5.58333333333333,-0.221530337664098
5.66666666666667,-0.238339174545477
5.75,-0.261082886711168
5.83333333333333,-0.286541069937662
5.91666666666667,-0.314759550581818
6,-0.344399601736489
