antenna_id	resonant_freq_ghz	depth_db	prominence_db	confidence	method
50265	3.333333254	-9.783492	9.567262	0.478363	local_min
50266	5.166666508	-0.172061	0.014141	0.000707	local_min
50268	3.416666746	-30.360891	30.103841	1.000000	local_min
50269	5.333333492	-0.204644	0.010997	0.000550	local_min
50270	4.416666508	-16.364805	16.055070	0.802754	local_min
50271	3.916666746	-0.155331	0.025595	0.001280	local_min
50272	2.916666746	-36.782833	36.567410	1.000000	local_min
50273	5.750000000	-0.262202	0.000195	0.000010	local_min
50274	3.750000000	-15.921447	15.400678	0.770034	local_min
50277	4.000000000	-0.158713	0.031859	0.001593	local_min
50278	4.916666508	-11.111148	9.927921	0.496396	local_min
50281	5.416666508	-0.203358	0.001763	0.000088	local_min
50284	4.000000000	-0.157952	0.037064	0.001853	local_min
50285	3.833333254	-0.174652	0.047552	0.002378	local_min
50286	5.166666508	-22.921762	22.428688	1.000000	local_min
50287	3.666666746	-16.577724	16.164340	0.808217	local_min
50288	5.000000000	-0.162618	0.005268	0.000263	local_min
50289	5.416666508	-11.340047	10.514996	0.525750	local_min
50291	3.916666746	-0.155988	0.032763	0.001638	local_min
50293	2.916666746	-16.456692	16.280822	0.814041	local_min
50294	3.916666746	-0.155932	0.028370	0.001419	local_min
50296	4.250000000	-12.890351	12.144262	0.607213	local_min
50297	4.250000000	-16.195536	15.473263	0.773663	local_min
50298	3.916666746	-0.163890	0.045729	0.002286	local_min
50299	5.583333492	-13.476268	12.679815	0.633991	local_min
50300	3.916666746	-0.158680	0.030851	0.001543	local_min
50301	5.416666508	-10.149123	6.308884	0.315444	local_min
50302	5.916666508	-0.338484	0.008485	0.000424	local_min
50304	4.583333492	-24.119030	23.476586	1.000000	local_min
50305	2.833333254	-10.079453	9.832907	0.491645	local_min
50306	3.916666746	-0.157398	0.027857	0.001393	local_min
50307	2.916666746	-7.417285	7.098373	0.354919	local_min
50308	3.916666746	-0.156202	0.028254	0.001413	local_min
50309	3.833333254	-0.157675	0.036314	0.001816	local_min
50310	3.833333254	-15.212616	14.963879	0.748194	local_min
