antenna_id	resonant_freq_ghz	depth_db	prominence_db	confidence	method
656	4.119999886	-26.462616	17.637935	0.969813	local_min
3836	4.219999790	-13.195952	10.794466	0.844636	local_min
2500	5.639999866	-14.427875	13.420770	0.820690	local_min
1319	5.579999924	-23.071140	19.944093	0.965652	local_min
4572	5.440000057	-1.082573	0.050750	0.050982	local_min
810	4.090000153	-14.416212	13.996958	0.839428	local_min
2102	3.950000048	-8.444123	7.983765	0.640960	local_min
520	3.809999943	-13.142489	11.382925	0.846892	local_min
2746	4.369999886	-30.736132	20.525286	0.983479	local_min
327	4.949999809	-20.662085	16.717850	0.954670	local_min
2046	5.630000114	-22.777752	17.187169	0.962050	local_min
30034	3.490000010	-19.075447	21.771113	0.869175	local_min
2449	3.410000086	-47.610420	28.626736	0.997008	local_min
2710	2.660000086	-11.706346	10.724563	0.814033	local_min
2246	3.730000019	-33.532700	22.677683	0.989354	local_min
1927	4.070000172	-28.043377	18.191575	0.973652	local_min
29986	3.630000114	-19.756084	14.261604	0.933896	local_min
2557	5.059999943	-5.291678	4.803778	0.419822	local_min
1662	4.409999847	-42.323219	25.887869	0.994761	local_min
2198	4.679999828	-14.514787	12.225963	0.877326	local_min
2123	3.240000010	-22.570738	17.106894	0.961765	local_min
4222	4.659999847	-18.852928	16.855737	0.938585	local_min
5099	2.700000048	-16.987207	14.628818	0.923616	local_min
5061	4.050000191	-18.949736	15.874754	0.943301	local_min
745	4.230000019	-27.063101	20.581570	0.981563	local_min
124	3.990000010	-19.242926	15.413730	0.941597	local_min
3587	4.159999847	-9.206906	8.922770	0.679015	local_min
4323	3.289999962	-17.131374	15.646650	0.924524	local_min
2800	5.250000000	-15.464790	12.234650	0.866436	local_min
4887	4.219999790	-18.510805	13.218527	0.918565	local_min
3403	3.369999886	-18.059973	15.252194	0.934980	local_min
4332	4.449999809	-23.889412	20.039416	0.976221	local_min
3211	5.829999924	-36.171505	24.883689	0.993187	local_min
1966	5.949999809	-20.884840	9.725830	0.840510	local_min
2062	5.940000057	-34.179123	17.771220	0.973605	local_min
2405	5.719999790	-22.319485	17.509038	0.962218	local_min
30063	4.900000095	-24.650059	18.836545	0.973200	local_min
2675	4.349999905	-14.705353	12.137865	0.880021	local_min
133	5.719999790	-20.869513	18.039189	0.960392	local_min
5702	3.410000086	-14.674127	13.758097	0.870162	local_min
586	5.639999866	-15.313441	13.201358	0.854386	local_min
2621	4.519999981	-24.395494	20.444594	0.978118	local_min
933	4.760000229	-11.202678	10.680905	0.731716	local_min
4527	5.840000153	-18.557579	11.475481	0.870812	local_min
4804	3.589999914	-16.295616	15.691007	0.891147	local_min
4161	4.219999790	-23.117413	20.820868	0.974960	local_min
2549	4.570000172	-39.107853	26.775726	0.995408	local_min
986	4.409999847	-32.230850	24.981532	0.992528	local_min
4414	3.460000038	-17.368250	12.711369	0.907227	local_min
2397	4.989999771	-20.567968	16.909751	0.955390	local_min
2320	4.929999828	-35.620758	26.513530	0.994818	local_min
4076	5.289999962	-9.692568	7.772193	0.649078	local_min
2006	3.920000076	-19.263985	16.215199	0.946152	local_min
4709	2.390000105	-21.163578	12.692875	0.921247	local_min
3104	5.630000114	-22.984871	20.722262	0.969714	local_min
7	4.920000076	-26.446651	19.774841	0.978557	local_min
1800	2.220000029	-15.283823	10.633014	0.863608	local_min
2744	5.420000076	-16.473057	15.459745	0.869676	local_min
78	5.500000000	-18.742781	17.057984	0.933853	local_min
4089	5.679999828	-20.954771	18.504480	0.961653	local_min
4923	5.849999905	-18.594913	15.690224	0.890805	local_min
4032	4.519999981	-11.428026	10.868544	0.758205	local_min
1166	3.670000076	-16.837454	12.608229	0.902965	local_min
3661	3.710000038	-17.420654	15.788884	0.929551	local_min
1613	5.900000095	-15.824016	12.406051	0.857399	local_min
5074	5.780000210	-19.738392	14.134099	0.928189	local_min
5103	3.339999914	-16.885820	13.696591	0.915058	local_min
2254	4.900000095	-22.595846	16.767514	0.959883	local_min
4244	4.980000019	-14.860278	12.485544	0.875476	local_min
681	4.769999981	-22.742498	18.641292	0.969009	local_min
2357	4.909999847	-24.448931	18.076096	0.969676	local_min
3223	5.239999771	-21.885271	18.486629	0.966569	local_min
2132	3.309999943	-22.341202	17.826328	0.964967	local_min
1330	3.710000038	-35.431740	25.213433	0.993474	local_min
1702	4.860000134	-24.421234	22.947050	0.976523	local_min
4686	4.500000000	-23.635176	22.394069	0.972469	local_min
831	3.029999971	-30.957756	19.665123	0.980874	local_min
4073	5.679999828	-11.876572	10.270951	0.781068	local_min
3294	3.920000076	-11.175851	7.976424	0.759977	local_min
3888	4.969999790	-19.669207	16.668180	0.951031	local_min
778	4.210000038	-13.697325	11.668238	0.858223	local_min
2294	5.250000000	-18.277945	15.282319	0.933145	local_min
373	5.079999924	-12.669652	10.665760	0.830410	local_min
3705	3.640000105	-20.197969	15.615501	0.946371	local_min
2147	4.920000076	-16.193235	14.198230	0.906531	local_min
2242	2.450000048	-17.035036	9.723590	0.858512	local_min
5053	4.380000114	-10.920440	8.988241	0.773591	local_min
2701	5.150000095	-18.214298	11.963114	0.901610	local_min
2218	4.860000134	-21.903175	19.129383	0.967569	local_min
981	5.179999828	-22.498550	17.734031	0.964687	local_min
815	2.130000114	-17.209963	9.717391	0.859352	local_min
2774	3.230000019	-13.568249	10.113182	0.838372	local_min
4580	5.559999943	-26.726339	22.800694	0.984962	local_min
41	4.219999790	-13.273925	12.291847	0.839380	local_min
2186	4.690000057	-17.696310	16.330216	0.927295	local_min
4591	5.420000076	-12.821671	11.587434	0.818157	local_min
705	3.880000114	-26.926683	17.101298	0.967392	local_min
2714	4.440000057	-13.428514	12.655333	0.836831	local_min
2251	2.539999962	-16.310411	10.902128	0.875401	local_min
5090	4.500000000	-25.088749	18.202868	0.971067	local_min
4109	4.420000076	-14.178771	13.702500	0.832959	local_min
1485	5.400000095	-10.303811	9.755478	0.722664	local_min
4808	5.960000038	-10.056412	1.035303	0.392525	local_min
4774	5.190000057	-27.810360	20.486243	0.981840	local_min
3559	4.920000076	-25.616667	19.522252	0.976882	local_min
4642	4.820000172	-12.734015	11.711037	0.800189	local_min
2461	4.610000134	-21.611429	15.111614	0.946424	local_min
1806	4.719999790	-16.994576	14.458973	0.921450	local_min
5755	5.409999847	-14.857110	13.723094	0.880922	local_min
3269	4.960000038	-15.255990	14.659461	0.855678	local_min
1005	3.680000067	-21.748764	16.358702	0.955611	local_min
348	4.260000229	-36.271816	22.776334	0.990002	local_min
546	3.960000038	-19.650179	16.164708	0.948208	local_min
2049	5.300000191	-20.892704	19.236886	0.949546	local_min
4340	5.530000210	-14.878147	12.931476	0.870651	local_min
5673	5.039999962	-23.307589	18.717201	0.970683	local_min
3534	3.349999905	-13.242020	10.876865	0.846561	local_min
3216	5.820000172	-28.365892	21.161453	0.981704	local_min
28	3.609999895	-22.959360	16.736232	0.960378	local_min
4158	5.820000172	-25.097128	20.389412	0.978822	local_min
2399	4.579999924	-18.955458	17.573765	0.940822	local_min
288	4.329999924	-18.829693	16.794663	0.946305	local_min
4582	4.940000057	-24.799370	22.020229	0.981520	local_min
4207	5.380000114	-33.822159	23.791802	0.991306	local_min
5619	4.849999905	-14.888047	13.927345	0.871427	local_min
5119	3.250000000	-18.058338	13.934197	0.923934	local_min
4165	4.690000057	-18.637444	16.702992	0.942425	local_min
3950	4.849999905	-31.336441	21.781901	0.986899	local_min
10	4.380000114	-10.517838	9.320594	0.756981	local_min
2331	4.559999943	-31.413933	23.174967	0.989670	local_min
4575	4.420000076	-12.130601	10.589138	0.812668	local_min
2672	4.639999866	-21.098120	16.947446	0.957420	local_min
5719	3.519999981	-17.216494	16.108094	0.914815	local_min
2420	3.799999952	-13.040593	11.487317	0.845966	local_min
3571	4.300000191	-17.665529	12.370417	0.904449	local_min
1254	4.130000114	-25.057903	22.852960	0.982318	local_min
5057	2.839999914	-15.441529	11.177629	0.873696	local_min
2324	4.719999790	-30.683380	27.057519	0.993753	local_min
4863	5.090000153	-16.685829	14.781461	0.916160	local_min
1796	3.299999952	-22.035418	13.719613	0.934773	local_min
1083	5.059999943	-16.423069	15.587400	0.887928	local_min
9	4.389999866	-13.367648	12.802196	0.827795	local_min
1948	4.920000076	-26.188362	20.939799	0.981698	local_min
2245	2.640000105	-30.026823	20.642182	0.983519	local_min
2414	5.960000038	-8.284701	4.004966	0.531692	local_min
30026	5.789999962	-18.609568	13.401425	0.920129	local_min
1810	4.250000000	-18.880236	15.035723	0.937119	local_min
1936	4.030000210	-21.351183	17.305546	0.959817	local_min
30045	5.719999790	-28.052883	19.624883	0.979294	local_min
1136	5.300000191	-22.010670	19.629891	0.966260	local_min
2579	3.750000000	-24.218374	17.474361	0.966450	local_min
1415	4.590000153	-16.124762	16.079717	0.863284	local_min
568	5.539999962	-28.624977	22.799152	0.987247	local_min
558	4.159999847	-14.862836	14.261615	0.866180	local_min
4581	2.440000057	-21.566738	14.031123	0.936819	local_min
2724	5.309999943	-18.790888	17.458385	0.930063	local_min
2336	5.610000134	-1.220422	0.066384	0.057892	local_min
1733	5.309999943	-26.796936	21.938091	0.984552	local_min
1091	5.119999886	-25.674410	21.606352	0.982280	local_min
2730	4.909999847	-8.879321	8.205755	0.655943	local_min
1725	2.430000067	-16.961878	10.032086	0.864039	local_min
1672	4.829999924	-8.518597	8.063342	0.640189	local_min
494	4.670000076	-18.187511	15.223366	0.934339	local_min
576	5.230000019	-19.293379	17.049989	0.948133	local_min
4468	2.650000095	-15.604766	12.672457	0.895146	local_min
