1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,-0.056902585,-0.372524075,-0.067613451,-0.040011643,-0.036583441,-0.036602023,-0.093479912,-0.145032388,-0.171218461,-0.584760769,-0.151650823,-0.170158898,-14.72480326,-0.108568164,-0.313820949,-0.255014038,-0.290309522,-0.276418047,-0.383888701,-0.475190113,-0.382712186,-0.313285134,-0.305844653,-0.424743999,-0.901471963,-3.345814847,-10.12523553,-2.993322973,-8.85559729,-8.293422719,-1.075203216,-0.963449867,-3.384804715,-5.220750391,-1.236014278,-1.926957411,-1.578213648,-5.535770647,-1.6884086,-0.785863069,-0.372917898,-0.471647871,-2.217959873,-2.417168153,-3.359297443,-10.70003122,-10.82680823,-1.169810385,-0.589947487,-0.539911378,-1.087865973,-6.88145609,-6.037613644,-1.655797691,-1.035731954,-0.773821279,-0.722734269,-2.044756588,-0.908232993,-1.224834037,-0.613858326
0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,-0.015697715,-0.017492331,-0.021027633,-0.025791434,-0.033649859,-0.055104746,-0.188165003,-0.103642754,-0.368402817,-0.018832518,-0.024646786,-0.035328511,-0.04862547,-0.07186802,-0.152661614,-6.9362131,-0.457985379,-0.409346318,-0.625868871,-1.149287088,-1.371778956,-0.557535746,-0.194246685,-0.909718421,-1.837632496,-0.337255845,-0.156973266,-0.135967311,-0.178230687,-0.307680771,-0.587275727,-2.084948524,-18.01712456,-2.151849076,-1.378839715,-1.356357312,-1.519532035,-1.499074252,-1.304219694,-1.13910727,-1.244327589,-1.504881969,-1.369509942,-4.272075963,-0.924655638,-0.616671414,-0.603514883,-0.616493373,-0.805409816,-2.603128027,-1.252039005,-0.793854384,-0.777272318,-0.845772047,-1.005418176,-1.285064114,-1.790792458,-2.244043634,-2.689421053,-2.791503378,-2.271206881
0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,-0.003016676,-0.003345843,-0.004237385,-0.005217383,-0.006467725,-0.00821577,-0.009907492,-0.012271672,-0.014993592,-0.017503016,-0.020856504,-0.02378112,-0.025695288,-0.02969725,-0.033032401,-0.037619158,-0.043330671,-0.052170753,-0.058539427,-0.057759897,-0.064741748,-0.070082895,-0.075865638,-0.081536479,-0.088150245,-0.096695346,-0.107718356,-0.111439011,-0.118127059,-0.129270195,-0.13660222,-0.140695586,-0.146764322,-0.147922246,-0.154811642,-0.156164135,-0.153803824,-0.150309912,-0.145641667,-0.127491333,-0.134210834,-0.131587829,-0.128924161,-0.126595234,-0.127504596,-0.131010197,-0.144355835,-0.143664703,-0.144167126,-0.152426953,-0.162614474,-0.184944303,-0.194141549,-0.199851338,-0.214507006,-0.228005743,-0.238947801,-0.260535967,-0.288743408,-0.306285717,-0.346139395
0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,-0.417120686,-0.006728493,-0.009040597,-0.013262144,-1.133845132,-0.109336682,-0.496614155,-0.105190702,-0.389648872,-0.428772523,-0.658157554,-0.467299985,-0.334318682,-0.158662467,-0.128712422,-0.61072235,-0.062309728,-0.636178732,-4.56280595,-0.11100447,-0.138163499,-0.207737345,-0.612360297,-1.009571425,-1.080668004,-1.196410681,-1.134724803,-12.14174955,-1.026001372,-2.489715831,-12.06023869,-2.963338973,-1.228112027,-0.613547263,-0.399100007,-0.448490942,-1.64242232,-8.363498357,-10.40957513,-3.55678989,-1.328220787,-1.744912982,-7.97720349,-2.470157572,-16.60430471,-1.255344023,-0.942413666,-1.120007241,-11.06636082,-5.850433739,-0.98810975,-1.570945717,-2.260450612,-2.891146152,-2.499795766,-1.326414005,-0.84329847,-0.72336631,-0.905474821,-0.457110432,-0.458914986
0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,-0.018431432,-0.012127525,-0.01169045,-0.012228707,-0.013819148,-0.01765316,-0.018893865,-0.022787892,-0.027727728,-0.034165488,-0.039340852,-0.051189048,-0.060362582,-0.083061206,-0.123542622,-0.218631754,-0.499650477,-1.770303204,-2.070373148,-0.704487725,-0.349825289,-0.23270875,-0.234792495,-0.270877552,-0.368752337,-0.592293089,-1.099977786,-2.215545084,-3.111196378,-3.273356295,-1.917037908,-1.219753503,-1.630465757,-0.739399312,-0.609606099,-0.422259581,-0.378174439,-0.43932357,-0.641045945,-1.730117296,-9.239063285,-2.559310879,-2.00245423,-3.237064146,-6.407089826,-1.927869755,-0.85574477,-0.673203304,-0.870070728,-1.485070348,-3.64539461,-3.807666134,-1.60400243,-0.910490501,-0.633312844,-0.531608,-0.480984872,-0.452716508,-0.498934214,-1.074944137,-4.506257925
1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,-0.007831875,-0.04273317,-0.053560548,-0.028806109,-0.024019819,-0.024283764,-0.027932894,-0.043800854,-1.591732818,-0.094713364,-0.060764287,-0.05872348,-0.06016538,-0.316794876,-0.099273417,-0.12491717,-0.108244927,-0.13163844,-5.340638899,-0.457464561,-0.495245026,-0.653750575,-0.865552464,-1.513565268,-3.429126041,-1.141364707,-0.688712972,-0.494682051,-0.418390661,-0.431248287,-0.670868373,-1.83496798,-0.404362787,-0.28709453,-0.250862619,-0.304269365,-1.417252312,-0.223932208,-0.222724592,-0.327622259,-0.859669881,-0.808059482,-0.277003284,-0.261173495,-0.335320942,-0.358305201,-0.501511731,-0.82084467,-1.587685641,-3.480845716,-8.499765181,-8.271884509,-4.557592076,-2.920305156,-2.171187738,-1.790006096,-1.653268739,-1.602358143,-1.54015351,-1.52545394,-1.562796311
0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,-0.003015025,-0.003514669,-0.005928333,-0.00519732,-0.006541696,-0.008237571,-0.008884576,-0.012059143,-0.014827111,-0.017834365,-0.020765607,-0.023697823,-0.026362252,-0.029113669,-0.030960704,-0.037322981,-0.041116445,-0.048885493,-0.039136318,-0.059338924,-0.067331836,-0.070470125,-0.076283042,-0.078833789,-0.088701295,-0.097218541,-0.104189269,-0.110778274,-0.124646175,-0.133056187,-0.144561443,-0.14397073,-0.149479369,-0.152187225,-0.158915354,-0.157571165,-0.152494295,-0.152279347,-0.148950765,-0.144136543,-0.138986396,-0.135269335,-0.133615592,-0.133832918,-0.138058389,-0.140802966,-0.150600277,-0.1643875,-0.178893601,-0.184444482,-0.218830741,-0.194780935,-0.135926129,-0.147544273,-0.166244656,-0.198173747,-0.202273113,-0.226723679,-0.251118331,-0.249521757,-0.320422384
1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,-0.027130951,-0.079524918,-0.118208226,-0.073056557,-0.04585815,-0.033727199,-0.028717963,-0.025998835,-0.704867909,-0.060453414,-0.077694512,-0.063958843,-0.074340443,-0.095865306,-0.11803593,-0.216869932,-0.59135867,-0.634947074,-0.24215383,-0.179469191,-0.580294606,-0.80728209,-0.130945267,-0.097207029,-0.104322337,-0.12634448,-0.160710135,-0.211547297,-0.303805793,-0.41937533,-0.616093603,-0.882370226,-1.282516681,-1.782468177,-2.169068047,-2.138264901,-1.982363834,-3.710651395,-0.976772197,-0.815997558,-0.628300421,-0.502144279,-0.518855045,-2.330814813,-1.027633422,-0.826178004,-0.722621743,-0.656653287,-0.627718608,-0.616083274,-0.594379859,-0.585388681,-0.633863308,-0.684295883,-0.628543891,-0.690286286,-0.781903747,-0.866995733,-0.986333271,-1.347855954,-2.147725369
1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-0.180757898,-0.264925098,-0.080231458,-0.031177428,-0.026406736,-0.028246603,-0.157619464,-0.982772695,-0.250625276,-0.510826418,-0.100275992,-0.140666806,-1.06976723,-0.306262093,-0.318570691,-0.17000658,-0.508777205,-1.265869126,-1.409536059,-0.591184896,-1.606767608,-0.528886128,-2.110618973,-0.397832615,-0.120710768,-0.307922422,-0.12036824,-0.101756931,-0.138327225,-0.250920053,-1.638127715,-1.350808738,-1.811888709,-1.873753398,-0.922776852,-0.288533707,-0.357561305,-2.209023061,-9.360196075,-4.717881808,-7.378974416,-1.231438983,-1.105176053,-1.977048308,-1.411266332,-0.730942384,-0.668225473,-1.012757377,-6.595267866,-1.625504622,-1.188525342,-2.63066624,-5.402498665,-1.835043776,-1.427821485,-1.696589272,-2.554419688,-2.029906308,-3.735458745,-3.828977885,-7.479225059
0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-0.032177975,-0.010583922,-0.021918185,-0.019348559,-0.022556929,-0.030315219,-0.26313963,-0.211803278,-0.058907678,-0.028213081,-0.045834454,-0.947831127,-0.625888201,-0.270023289,-0.247438705,-0.300905841,-0.314573819,-0.309279793,-0.323502566,-0.337213121,-0.26460841,-0.207105755,-0.138919263,-0.116416341,-0.100451256,-0.094490285,-0.090494747,-0.094717226,-0.088892619,-0.116466255,-0.217293838,-2.03928528,-1.240409742,-8.938856049,-4.300217772,-2.953321732,-0.96863803,-0.937296745,-0.735303238,-0.972929758,-1.651618442,-3.229650991,-1.748278206,-1.247889811,-1.021268838,-0.775881456,-1.286270892,-3.696886124,-6.082043405,-2.353904737,-1.449391985,-1.134576685,-0.973269392,-0.891485736,-0.883020988,-0.806116706,-0.862262554,-0.965867084,-1.175416103,-1.106621966,-1.15635981
