epoch,train_total,train_complex_mse,train_db_mae,train_notch,train_passive,train_smooth,val_total,val_complex_mse,val_db_mae,val_notch,val_passive,val_smooth,lr
1,490.32460659499395,486.69078859093077,14.295004778544108,0.42384643836248487,0.002758863912130307,0.9132621852329799,11.7438261879815,8.72796790568034,11.925344382392035,0.2294376245074802,2.707284749744253e-05,0.5787768553627862,1.6692034500253676e-05
2,34.72701277160645,31.454492116292318,12.968617397490002,0.21898895301705315,1.6972476117825225e-05,0.447387978213174,4.588413294474284,1.6411484190622965,11.677665654500325,0.21567043113708495,0.0,0.3140697133011288,3.3358701166920343e-05
3,16.061525460379464,12.896680021013532,12.554241314479283,0.2126387786297571,2.3585598398767615e-09,0.271821575380507,13.781007623460559,10.701404249403211,12.218306913587782,0.21025414215193855,0.0,0.20005945715639326,5.002536783358701e-05
4,10.137182317279635,7.047858752296085,12.260333367847261,0.21038001200698672,0.0,0.17885158826623646,5.8258051435682505,2.873198941336738,11.71619034745958,0.20714105688201057,0.0,0.1422267413139343,6.669203450025368e-05
5,8.617421672457741,5.577547341573806,12.068133422488257,0.20701550493921553,0.0,0.12537250257106056,6.461794464111328,3.524856174680922,11.65989064364963,0.20007800534036424,0.0,0.09789137040906483,8.335870116692035e-05
6,7.262298679351806,4.323867211568923,11.67030709584554,0.19446731797286443,0.0,0.08665694702806927,3.8305114182366267,1.0925128285090129,10.875939309861925,0.17512460554970635,0.0,0.07506488086779912,0.00010002536783358701
7,6.256956476120722,3.574677248228164,10.65532506779262,0.1706587766522453,1.8765768041338936e-05,0.08272307128849483,3.408806895997789,0.8665308190451728,10.098705596076117,0.15913742252190907,0.0001518748996309619,0.08353774582677417,0.00011669203450025367
8,5.663171798524402,3.186332423800514,9.83752305748349,0.15688145050548372,0.000848099800367241,0.09611605462857654,4.080308018154568,1.7996594841215345,9.053837693956163,0.14472390066252813,0.0032670560764769714,0.11950014675988091,0.00013335870116692035
9,4.593202708834694,2.294433355127062,9.124092320033482,0.1428602353022212,0.006855576160463004,0.15324261309987022,3.5122619230482313,1.2835370620091757,8.835326737297907,0.12063337418768141,0.023540394448571735,0.27378993675443863,0.00015002536783358702
10,3.8537619739714124,1.7638255563463483,8.28528744997297,0.12175149735382625,0.01678865429439715,0.25291110439527603,2.6613821890089246,0.8640540752940707,7.106162031385634,0.11088720534907447,0.028597305342555047,0.3419579089217716,0.0001666920345002537
11,3.7593364448547364,1.7143095016025363,8.109640480949766,0.11805684329782214,0.013435144718292923,0.23741382013048445,3.345363591512044,1.154277822494507,8.692602559831407,0.10902153279383978,0.015570075303316116,0.2737988846169578,0.00018335870116692034
12,3.415403476533436,1.451903477577936,7.787925890604655,0.11300318801970709,0.012134357726112717,0.2136305114712034,7.478535014682346,5.196359953138564,9.057913243611655,0.12646028847164578,0.012132358599868085,0.1918743318186866,0.00020002536783358702
13,3.1346545161292667,1.1802138852164858,7.752682628268287,0.11269850027561187,0.01257243406551563,0.19881952903384253,3.0393144806755914,1.2399780241648357,7.119314007653131,0.10630293460687001,0.031085720696383053,0.28845511661635503,0.0002166920345002537
14,2.9224531768617177,1.017482798576355,7.556446218581427,0.11016677933079856,0.01396036625870814,0.18462939779531387,3.334962318844265,1.406273581398858,7.659423182169596,0.10135252851910061,0.007904977399028009,0.14535957669549518,0.00023335870116692034
15,2.8855921129499165,1.0295838178907122,7.362818162282308,0.10559614962055569,0.01586204766162804,0.17020363828114102,2.7329071566263834,0.9501665952470567,7.062773775312635,0.09749661866823832,0.032555969289607474,0.20209355415238275,0.000250025367833587
16,3.0108852245694115,1.0624884332248143,7.732195023127964,0.10930484724612463,0.014685247681269565,0.1594814429112843,2.359356686062283,0.6778457334306505,6.655348128424751,0.10196924907631344,0.0321730443239212,0.2129841330581241,0.0002666920345002537
17,2.625659145536877,0.8293697227296375,7.126602119809105,0.1028809974193573,0.018525680031095233,0.13689077253001078,2.179831775241428,0.4775067933930291,6.751562920888265,0.09769116146034665,0.022388735656936963,0.12131383943557739,0.00028335870116692036
18,2.6697558165050688,0.8063669974236262,7.395619208562942,0.10852821047249295,0.017019919325176273,0.10666760201681227,3.1294320545196532,0.9869659129248725,8.507443642086454,0.13001285839743085,0.0034855722524225713,0.11276927449968126,0.00030002536783358704
19,2.5773882578895204,0.797636621656872,7.063714068276542,0.10142099307548433,0.0195960308203385,0.09707881302209127,2.4941203933291964,0.7900429641405742,6.762704086727566,0.09439617812633515,0.02318653291132715,0.08215615634123484,0.0003166920345002537
20,2.4520796859377905,0.7073014848799932,6.925478094191778,0.10060795659678323,0.019812599864744006,0.07933411649579093,2.2041974724663627,0.5184694781833225,6.687595466189914,0.09639928353495068,0.026870383451382318,0.07510772459705671,0.00033335870116692033
21,2.4738212877909342,0.7310349962143671,6.917217358180455,0.10010985757907231,0.022276093146985487,0.07381719054778417,2.338530622270372,0.6995915834638807,6.496417636447482,0.09842186907927196,0.034570017639133664,0.07677101888921525,0.000350025367833587
22,2.4023847773415703,0.6737100075085958,6.862139712015788,0.09910483175232297,0.02052761516875277,0.06893607918137595,2.166814777798123,0.4374503351317512,6.86267281044854,0.09257717788881725,0.03216044960750474,0.061124413354529276,0.0003666920345002537
23,2.3823883811405726,0.6592521882284256,6.840295243399484,0.09963491805962153,0.020630305030871005,0.06306099619184222,2.2186847404903838,0.5219281044006348,6.733483445909288,0.09319705650541517,0.02848575805293189,0.06087547723783387,0.00038335870116692035
24,2.455492663610549,0.6699366660345168,7.088268719991048,0.10404430785349437,0.018463066357941853,0.07272879676591783,2.6995460588667126,0.9065636856820848,7.116878565470378,0.09409413210550945,0.02779885138074557,0.07867251116368505,0.00040002536783358703
25,2.318361156372797,0.6128174522717794,6.769584925333659,0.09897714372192111,0.0207443412819079,0.06926522719576245,1.9934383362664116,0.4191864569981893,6.243124172634548,0.09239383382267422,0.02698169784413444,0.07666407046715419,0.00041669203450025365
26,2.34691953590938,0.6212521011375246,6.849850109826951,0.09942309272856939,0.019359269112969438,0.0759179166271573,2.2005862454308405,0.4925601895650228,6.775993325127495,0.09089291179180145,0.03100862394273281,0.09187947582536274,0.0004333587011669203
27,2.3825430232910882,0.6338140257199605,6.941803989955357,0.1038570043870381,0.01849825190991036,0.06295359529767718,2.990902740266588,1.1110764100286696,7.45599427541097,0.1409656734863917,0.004415818855580357,0.06448146991597281,0.000450025367833587
28,2.544125227519444,0.6528395737239293,7.509568130856469,0.11341016889469964,0.010488054658305589,0.0856437767176401,2.736732078976101,0.6177092802259657,8.42351214006212,0.1125320748090744,0.0007400471285606424,0.09087593491872152,0.0004666920345002537
29,2.944698827652704,0.7288374487331936,8.80143299248105,0.14198506787845067,0.0022043005560589703,0.0657049281409099,3.394763736936781,0.9374792207082112,9.751557739257812,0.18845747162236107,0.0,0.027467083596520954,0.0004833587011669204
30,2.6145039579300655,0.6747444418271382,7.702537972586495,0.12060714736438932,0.0039412649209293275,0.09484604892276582,2.2732407733069526,0.46128658315870497,7.194921841515435,0.10350813820627,0.008083579475267066,0.10322837299770779,0.0005
31,2.5594054372878303,0.6435517802238464,7.608137576875232,0.1169590684459323,0.003428021423802929,0.09982558384395782,2.6068295199076337,0.7410986588266161,7.402813882191976,0.10804726440376705,0.010834091035028299,0.15696213286452823,0.0004999839231508936
32,2.4515740199316114,0.6225922271524157,7.261116196950277,0.11017210338513056,0.0037600940883913566,0.1263802058583214,2.2545823453267415,0.5164515522585975,6.896484786563449,0.10323332763380474,0.011030248573256863,0.12916204230652914,0.0004999356947801222
33,2.3855440515336537,0.5875762996105921,7.138158054170154,0.11068868781271435,0.004848693194178243,0.10480011506591524,2.3725192553202312,0.40632050795025293,7.812457582261827,0.10780425343910853,0.00552279398093621,0.0875825758046574,0.0004998553214170352
34,2.49947965721857,0.6381386768250238,7.391581294831775,0.11465605890183221,0.0038326879658458156,0.09028871365388234,2.2839851837158203,0.4297685640388065,7.362288784450955,0.11069771493805779,0.0032097553703933955,0.1126839235358768,0.0004997428139428996
35,2.4492958726428804,0.6135758729435149,7.290270893278576,0.11083969925131117,0.003445125579373867,0.09704490777992067,2.4365171655019124,0.7422972292900085,6.7218273879157175,0.10360541297329796,0.009286073874682188,0.12369696467452579,0.0004995981875894262
36,2.372678250176566,0.5850135837282453,7.098631351289295,0.10843743856747945,0.004784579260008676,0.09463806912728719,2.4907090909745957,0.6291783548990886,7.394973882039388,0.10101094569762548,0.008456315365102557,0.0920270638399654,0.0004994214619367082
37,2.3183092155456544,0.5709724691027687,6.937958195095971,0.10558673814364843,0.006144019085381712,0.09338035721438272,2.172079161114163,0.4772452016406589,6.726083467695448,0.0994121373825603,0.013671273242268297,0.100238142185741,0.0004992126609105703
38,2.320067484901065,0.5672479287329174,6.959649180094401,0.10679269930294581,0.0075781398445722604,0.0837778001001903,2.498063904232449,0.7292318462265862,7.022885154724121,0.10103487122721143,0.012284134784506427,0.08894359481334686,0.0004989718127793286
39,2.2999904482705253,0.5592870155402593,6.911456252143497,0.10545287869090125,0.009100673257949806,0.07925381252879188,2.2497771082984075,0.5839778978029887,6.606935805002848,0.09970319037304984,0.022334870085120202,0.09307236057519913,0.0004986989501499649
40,2.2726623721349806,0.5516452845164708,6.833567481994629,0.10279402916772025,0.009213551488394539,0.08047027635290509,2.080060723198785,0.4394579966068268,6.513911731719971,0.09614701613452699,0.009117798854079512,0.07991545001665751,0.0004983941099637115
41,3.267024047579084,0.6677559841700963,10.313361479259672,0.2022441501503899,0.002116246066447015,0.04104040525144055,3.626672654893663,0.6549013289345635,11.786129290262858,0.24906916064686246,0.0,0.01660064665807618,0.0004980573334910497
42,3.5385099610828217,0.7452506780624389,11.081337088085355,0.22664307045936585,0.00029787063987774724,0.029873312515871865,3.5271630140940347,0.5087527617878385,11.973234060499403,0.24750817510816786,0.0,0.017547376597921053,0.000497688666326123
43,2.8863500290825255,0.6225053177561078,8.9880537512643,0.1571546869618552,0.0020082671121768644,0.058427696131524584,2.5386506139967175,0.7008320252100627,7.29611177359687,0.10764118534326553,0.011226121518346998,0.09519647385676702,0.000497288158380564
44,2.379224679492769,0.5652910143988473,7.202726189022973,0.11219139359678541,0.005854586078563617,0.08241504804009483,2.9898695365058052,0.6434319541454315,9.312989179823134,0.16796827513641782,0.002340928409455551,0.05796757235460811,0.0004968558638767375
45,2.4218255008515857,0.5718842322258723,7.3436706828162785,0.11935401309104193,0.00731064358658707,0.07900175742734046,2.555120153427124,0.6245435628361172,7.668625861697727,0.12156260568565792,0.001195808296609256,0.05721374037530687,0.0004963918413403995
46,2.284562078385126,0.5420642525355022,6.917532924833752,0.1079719508488973,0.008199755749886944,0.08598091646035512,2.2506159307691784,0.48099157767825657,7.027951733907064,0.10040760593281851,0.00951579136070278,0.0822039500342475,0.0004958961535927732
47,2.2382370220365977,0.5263813449768793,6.795520419166202,0.10424198926062811,0.01016046369111254,0.08679322826010841,2.262513530943129,0.5822465680440267,6.670831815931532,0.09722686673535241,0.010340430239836374,0.09011437282297347,0.000495368867742045
48,2.2453065258661904,0.5291045858973549,6.813062930879139,0.10353331507671447,0.010844870245705048,0.08545227284658523,2.266900040520562,0.5794806716177199,6.695626870897081,0.09732820180389616,0.01837962747696373,0.09709275576141145,0.0004948100551742788
49,2.2166700532095773,0.5247343623751686,6.716688493274507,0.10151531058266049,0.011115576424591598,0.08539670449211484,2.097887522485521,0.48211025396982826,6.412889881134033,0.09614285024007162,0.01314181726011965,0.08131749447186788,0.000494219791543751
50,2.2324214037940617,0.5228068955966404,6.787163239252,0.10343942020336787,0.01090277328626031,0.07912018036842346,2.2200414810180664,0.5813285108672248,6.5019476271735295,0.09731561362081104,0.017637456238269806,0.0865381922589408,0.0004935981567627081
51,2.264009579340617,0.5354263261272794,6.860569496154785,0.10867471751712618,0.011880318015104249,0.07860987168550491,2.235934335708618,0.4997632836765713,6.887384893629286,0.10174928096267911,0.02440782271987862,0.08545537930727005,0.0004929452349905492
52,2.2698081194559734,0.5291073873724256,6.909636146727062,0.10837768883080709,0.011032307722738811,0.07850562571343922,2.117915302488539,0.5225997680028279,6.329318957858615,0.10011995121505525,0.012383545125524203,0.0867725759545962,0.0004922611146224302
53,2.231344079517183,0.5151810849280585,6.8121931294032505,0.10606310224816913,0.011540473678991909,0.07722422417856398,2.1775665582021078,0.5168313148021698,6.592308325025771,0.10256302590502633,0.01010356120351288,0.06957554101612833,0.000491545888277298
54,2.2038238554454983,0.5102941674164363,6.722251714615595,0.104012509172871,0.012101620950159573,0.07752232534260976,2.097083406130473,0.4420811965465546,6.567805878533258,0.09878782901499006,0.015084834231270685,0.0831735148496098,0.0004907996527853507
55,2.4584311295463923,0.515284689891906,7.7060517349243165,0.1438976923397609,0.011212336402741217,0.07074391886449996,2.446355119281345,0.5452202142079671,7.532491958618164,0.14224915891223483,0.02172951864865091,0.08070279231998656,0.0004900225091749287
