"Freq [GHz]","dB(S(1,1)) []"
1,-0.00299765791389028
1.08333333333333,-0.00356325568557241
1.16666666666667,-0.00427577677260313
1.25,-0.00524862716815787
1.33333333333333,-0.00649664970908839
1.41666666666667,-0.0080745187074768
1.5,-0.0100210718941479
1.58333333333333,-0.0123536949786945
1.66666666666667,-0.0150527473157442
1.75,-0.0180238042175072
1.83333333333333,-0.0210558975005109
1.91666666666667,-0.0239412177213599
2,-0.02652725342296
2.08333333333333,-0.0292284497826568
2.16666666666667,-0.0322412304226538
2.25,-0.0365552712656786
2.33333333333333,-0.0430949623946837
2.41666666666667,-0.0483896667030551
2.5,-0.0543097529452492
2.58333333333333,-0.0602134663780992
2.66666666666667,-0.0658442091219305
2.75,-0.0710893393084741
2.83333333333333,-0.0761949137738595
2.91666666666667,-0.081681580086709
3,-0.0887264631864291
3.08333333333333,-0.0961846565935784
3.16666666666667,-0.104380592132908
3.25,-0.112393465570105
3.33333333333333,-0.124817950540841
3.41666666666667,-0.130767678949904
3.5,-0.137827140540616
3.58333333333333,-0.143360336752186
3.66666666666667,-0.147061422697416
3.75,-0.149957641234553
3.83333333333333,-0.15627751267139
3.91666666666667,-0.154825307234405
4,-0.15377027471411
4.08333333333333,-0.150999736546305
4.16666666666667,-0.145641545321531
4.25,-0.140361406791837
4.33333333333333,-0.135380941288059
4.41666666666667,-0.130275229576561
4.5,-0.127255520541994
4.58333333333333,-0.125646213941175
4.66666666666667,-0.125476841750976
4.75,-0.127206119359592
4.83333333333333,-0.130336928763199
4.91666666666667,-0.135522838914362
5,-0.142253042236869
5.08333333333333,-0.150354094491302
5.16666666666667,-0.156458339260126
5.25,-0.168609684803784
5.33333333333333,-0.179593265712542
5.41666666666667,-0.190297548323833
5.5,-0.194331940859775
5.58333333333333,-0.216123859272598
5.66666666666667,-0.236926136713695
5.75,-0.260572772218713
5.83333333333333,-0.29396566521697
5.91666666666667,-0.310002782834851
6,-0.360219159829604
