"Freq [GHz]","dB(S(1,1)) []"
1,-0.0351450763274483
1.08333333333333,-0.113928534957325
1.16666666666667,-0.0113012523726808
1.25,-0.0186989735575956
1.33333333333333,-0.0992926094040353
1.41666666666667,-0.168190171272431
1.5,-0.351994841927402
1.58333333333333,-0.189674513744674
1.66666666666667,-0.410922560410924
1.75,-0.812586517592818
1.83333333333333,-0.486537005787666
1.91666666666667,-0.40934937795368
2,-0.349898941769
2.08333333333333,-0.327222547931057
2.16666666666667,-0.606077866520767
2.25,-0.190919828122986
2.33333333333333,-0.223237067902565
2.41666666666667,-1.36609525256122
2.5,-0.619631503572358
2.58333333333333,-0.665042759544149
2.66666666666667,-0.965714548611729
2.75,-8.30810884519267
2.83333333333333,-1.61436614984921
2.91666666666667,-0.896688861766052
3,-0.913753613644766
3.08333333333333,-7.65712555610456
3.16666666666667,-0.447543438050434
3.25,-0.234728530935169
3.33333333333333,-0.62390778961673
3.41666666666667,-0.810532580781756
3.5,-0.469554377459429
3.58333333333333,-0.154108643175536
3.66666666666667,-0.374254360154608
3.75,-12.9232767870622
3.83333333333333,-1.97693657806039
3.91666666666667,-12.6189038526059
4,-1.09248147654718
4.08333333333333,-1.85673398472678
4.16666666666667,-1.83016025049693
4.25,-0.555314482976277
4.33333333333333,-2.64211507921595
4.41666666666667,-0.470086761936312
4.5,-0.663672171471356
4.58333333333333,-0.442344804024037
4.66666666666667,-0.266259847170394
4.75,-0.4731410887427
4.83333333333333,-1.38154058934323
4.91666666666667,-1.04665320462837
5,-1.32272347621213
5.08333333333333,-0.584328828640767
5.16666666666667,-0.911037237175695
5.25,-1.84646951069537
5.33333333333333,-9.35947201548197
5.41666666666667,-1.8031538693928
5.5,-2.07990554839876
5.58333333333333,-1.06596423216813
5.66666666666667,-0.839781827481935
5.75,-1.23503738621648
5.83333333333333,-1.17544883637212
5.91666666666667,-1.25253743325926
6,-1.69790401221482
