"Freq [GHz]","dB(S(1,1)) []"
1,-0.01914240086559
1.08333333333333,-0.023788671497863
1.16666666666667,-0.0350135066712278
1.25,-0.0457283215481425
1.33333333333333,-0.0516111546681306
1.41666666666667,-0.0577780903675978
1.5,-0.0659406067208071
1.58333333333333,-0.0737009569927036
1.66666666666667,-0.0857544083201969
1.75,-0.111686142906262
1.83333333333333,-0.156531911761251
1.91666666666667,-0.249709590614174
2,-0.40689643091517
2.08333333333333,-0.370493006636478
2.16666666666667,-0.160126782773588
2.25,-0.0952249638853728
2.33333333333333,-0.0727696541834005
2.41666666666667,-0.0707481998952939
2.5,-0.069658188956625
2.58333333333333,-0.078429096070309
2.66666666666667,-0.0915728886019936
2.75,-0.113415663750877
2.83333333333333,-0.151457651931729
2.91666666666667,-0.20835674944847
3,-0.454486858395511
3.08333333333333,-1.29176631505734
3.16666666666667,-5.91010696816477
3.25,-2.1629912834494
3.33333333333333,-0.684811788414258
3.41666666666667,-0.324410636323187
3.5,-0.223132225185738
3.58333333333333,-0.175560110898828
3.66666666666667,-0.15714796554456
3.75,-0.176181283670537
3.83333333333333,-0.239219809828863
3.91666666666667,-0.482488656499897
4,-5.7337899018605
4.08333333333333,-0.926221695677075
4.16666666666667,-0.290471697938643
4.25,-0.22841949319018
4.33333333333333,-0.20616780961331
4.41666666666667,-0.192815774664036
4.5,-0.20047462048438
4.58333333333333,-0.206828575053167
4.66666666666667,-0.212190508759024
4.75,-0.218246725979569
4.83333333333333,-0.22976501359146
4.91666666666667,-0.238099166807921
5,-0.256003067992999
5.08333333333333,-0.272119848527719
5.16666666666667,-0.294580297999292
5.25,-0.334133733438239
5.33333333333333,-0.392261663124066
5.41666666666667,-0.566432932678438
5.5,-1.9120000500024
5.58333333333333,-3.78184786366135
5.66666666666667,-0.901620463302625
5.75,-0.616002781750578
5.83333333333333,-0.55881095279102
5.91666666666667,-0.588067163178012
6,-0.574412251381865
